year,순위,팀명,G,SBA,SB,CS,SB%,OOB,PKO
2021,1,삼성,144,160,116,44,72.5,46,7
2021,2,KT,144,158,112,46,70.9,48,5
2021,3,한화,144,165,109,56,66.1,59,14
2021,4,NC,144,147,101,46,68.7,39,9
2021,5,SSG,144,143,100,43,69.9,42,3
2021,6,키움,144,123,97,26,78.9,39,3
2021,7,LG,144,126,92,34,73.0,43,15
2021,8,두산,144,118,81,37,68.6,46,10
2021,9,KIA,144,104,73,31,70.2,46,8
2021,10,롯데,144,91,60,31,65.9,54,8
2022,1,KIA,144,137,103,34,75.2,57,5
2022,2,LG,144,148,102,46,68.9,46,10
2022,3,NC,144,139,100,39,71.9,56,7
2022,4,SSG,144,137,98,39,71.5,42,4
2022,5,한화,144,142,93,49,65.5,49,6
2022,6,삼성,144,118,91,27,77.1,50,6
2022,7,두산,144,130,90,40,69.2,55,4
2022,8,KT,144,123,89,34,72.4,38,6
2022,9,키움,144,83,63,20,75.9,42,8
2022,10,롯데,144,100,61,39,61.0,54,6
2023,1,LG,144,267,166,101,62.2,78,15
2023,2,두산,144,181,133,48,73.5,52,11
2023,3,KIA,144,156,122,34,78.2,41,6
2023,4,NC,144,157,111,46,70.7,53,8
2023,5,삼성,144,138,103,35,74.6,56,10
2023,6,롯데,144,143,101,42,70.6,42,12
2023,7,SSG,144,124,96,28,77.4,43,10
2023,8,KT,144,117,87,30,74.4,54,5
2023,9,한화,144,89,67,22,75.3,35,7
2023,10,키움,144,65,54,11,83.1,37,7
2024,1,두산,144,234,184,50,78.6,56,4
2024,2,LG,144,250,171,79,68.4,61,12
2024,3,SSG,144,188,149,39,79.3,32,3
2024,4,KIA,144,169,125,44,74.0,45,4
2024,5,삼성,144,142,113,29,79.6,39,4
2024,6,롯데,144,147,105,42,71.4,54,13
2024,7,NC,144,137,104,33,75.9,47,10
2024,8,키움,144,84,71,13,84.5,33,3
2024,9,한화,144,110,69,41,62.7,44,7
2024,10,KT,144,88,61,27,69.3,37,4
2025,1,NC,144,250,186,64,74.4,45,14
2025,2,두산,144,187,144,43,77.0,58,8
2025,3,SSG,144,176,129,47,73.3,40,3
2025,4,LG,144,170,121,49,71.2,49,7
2025,5,한화,144,139,101,38,72.7,50,15
2025,6,삼성,144,130,98,32,75.4,53,3
2025,7,롯데,144,119,91,28,76.5,51,2
2025,8,키움,144,98,83,15,84.7,38,5
2025,9,KIA,144,99,77,22,77.8,44,7
2025,10,KT,144,72,48,24,66.7,40,9
