Team,Off_Score,Pit_Score,Quadrant
LG,-0.035460662650338336,0.02535494678937389,"Q2 투수형(-,+)"
KT,-0.08919116370025035,0.05631450102763388,"Q2 투수형(-,+)"
NC,-0.0568630690210955,-0.1464174000062908,"Q3 약점형(-,-)"
KIA,-0.08446677741011757,-0.23615110475020032,"Q3 약점형(-,-)"
삼성,-0.08681870078920949,-0.20545020585746263,"Q3 약점형(-,-)"
두산,-0.08875293071581698,-0.15970070073006973,"Q3 약점형(-,-)"
롯데,-0.09533178092136012,-0.12475561308091539,"Q3 약점형(-,-)"
SSG,-0.10647481090169117,-0.2727071921923723,"Q3 약점형(-,-)"
키움,-0.1404247837873913,-0.29135376592383316,"Q3 약점형(-,-)"
한화,-0.17894119529381092,-0.17129455172505956,"Q3 약점형(-,-)"
